system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 7,KALTIM1.SIGNAL.AI.10LCJ70AA101XQ12,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 7,KALTIM1.SIGNAL.AI.10LCJ70AA102XQ12,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10LCR20AA101XQ12,0.0,9,3
#1 TURBINE SYSTEM,#1  MAIN STEAM VALVE,KALTIM1.SIGNAL.AI.10MAA01CP101,0.0,12,0
#1 TURBINE SYSTEM,#1  MAIN STEAM VALVE,KALTIM1.SIGNAL.AI.10MAA01CP102,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L1,KALTIM1.SIGNAL.AI.10MAA01CP103,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE L2,KALTIM1.SIGNAL.AI.10MAA01CP104,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE R1,KALTIM1.SIGNAL.AI.10MAA01CP105,0.0,12,0
#1 TURBINE SYSTEM,#1 GOVERNOR VALVE R2,KALTIM1.SIGNAL.AI.10MAA01CP106,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP107,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP108,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP109,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP110,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP111,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP112,0.0,12,0
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP113,0.0,0,12
#1 TURBINE SYSTEM,#1 HP TURBINE,KALTIM1.SIGNAL.AI.10MAA01CP114,0.0,0,12
#1 TURBINE SYSTEM,#1 LP TURBINE,KALTIM1.SIGNAL.AI.10MAC01CP101,0.0,9,3
#1 TURBINE SYSTEM,#1 LP TURBINE,KALTIM1.SIGNAL.AI.10MAC01CP102,0.0,0,12
#1 TURBINE SYSTEM,#1 TURBINE BEARING NO. 3,KALTIM1.SIGNAL.AI.10MAD31CY104,0.0,0,12
#1 TURBINE SYSTEM,#1 TURBINE BEARING NO. 4,KALTIM1.SIGNAL.AI.10MAD41CY101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL101,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL102,0.0,10,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL103,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CL104,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP101A,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP102,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAG10CP102A,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAJ30BN001XQ01,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10MAJ31BN001XQ01,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL TANK,KALTIM1.SIGNAL.AI.10MAU12CL101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL TANK,KALTIM1.SIGNAL.AI.10MAU12CL102,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL PUMP,KALTIM1.SIGNAL.AI.10MAU20CP101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL PUMP,KALTIM1.SIGNAL.AI.10MAU20CP102,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 MAIN OIL PUMP,KALTIM1.SIGNAL.AI.10MAU20CP103,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 HP OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30AP002XQ01,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 AC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30AP003XQ01,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 DC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30AP004XQ01,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 HP OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30CP101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 AC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30CP102,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 DC OIL PUMP,KALTIM1.SIGNAL.AI.10MAU30CP103,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 JACKING OIL PUMP A,KALTIM1.SIGNAL.AI.10MAU40AP001XQ01,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 JACKING OIL PUMP B,KALTIM1.SIGNAL.AI.10MAU40AP002XQ01,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 JACKING OIL PUMP A,KALTIM1.SIGNAL.AI.10MAU40CP101,0.0,12,12
#1 CONDENSATE WATER SYSTEM,#1 GLAND STEAM CONDENSER,KALTIM1.SIGNAL.AI.10MAW10CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AI.10MAW31CP101,0.0,12,0
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AI.10MAW33CP101,0.0,12,0
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AI.10MAW35AA101XQ12,0.0,12,0
#1 ELECTRO HYDROLIC SYSTEM,#1 EH MAIN OIL PUMP A,KALTIM1.SIGNAL.AI.10MAX20CP101,0.0,0,12
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE001,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE002,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE003,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE004,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE005,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE006,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE007,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE008,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKC01CE002,0.0,12,0
#1 EXCITATION SYSTEM,#1 TRANSFORMER EXCITATION,KALTIM1.SIGNAL.AI.10MKT01CE001,0.0,12,0
#1 EXCITATION SYSTEM,#1 TRANSFORMER EXCITATION,KALTIM1.SIGNAL.AI.10MKT01CE002,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB30AA101XQ12,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB30CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB31AA101XQ12,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB31CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB40CP101,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB41CP101,0.0,12,0
#1 CCCW SYSTEM,#1 HE CCCW A,KALTIM1.SIGNAL.AI.10PCB10CP101,0.0,12,0
#1 CCCW SYSTEM,#1 HE VACUM PUMP B,KALTIM1.SIGNAL.AI.10PCB30CP102,0.0,0,12
#1 CCCW SYSTEM,#1 EXPANSION TANK,KALTIM1.SIGNAL.AI.10PGB20AA101XQ12,0.0,12,0
#1 CCCW SYSTEM,#1 CCCW PUMP A,KALTIM1.SIGNAL.AI.10PGB32CP101,0.0,12,0
#1 LUBRICANT OIL SYSTEM,#1 LUBE OIL COOLER A,KALTIM1.SIGNAL.AI.10PGB50AA101XQ12,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR AIR COOLER SET,KALTIM1.SIGNAL.AI.10PGB75AA101XQ12,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB20CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB21CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB22CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB23CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB24CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB30CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB40CP101,0.0,12,0
#1 INSTRUMENT AIR SYSTEM,#1 INSTRUMENT AIR SYSTEM,KALTIM1.SIGNAL.AI.10QFB50CP101,0.0,12,0
#1 BOILER SYSTEM,#1 HTSH,KALTIM1.SIGNAL.AI.AM11CCS20A01,0.0,12,0
#1 BOILER SYSTEM,#1 SOOT BLOWER,KALTIM1.SIGNAL.AO.10HCB10AA101XQ11,0.0,12,0
#1 ASH HANDLING SYSTEM,#1 SLAG COOLER C,KALTIM1.SIGNAL.AO.10HDA30AN001XQ11,5.0,2,4
#1 COAL FEEDING SYSTEM,#1 COAL FEEDER A,KALTIM1.SIGNAL.AO.10HFB10AF001XQ11,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 COAL FEEDER B,KALTIM1.SIGNAL.AO.10HFB20AF001XQ11,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 COAL FEEDER C,KALTIM1.SIGNAL.AO.10HFB30AF001XQ11,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 COAL FEEDER D,KALTIM1.SIGNAL.AO.10HFB40AF001XQ11,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 COAL FEEDER E,KALTIM1.SIGNAL.AO.10HFB50AF001XQ11,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 COAL FEEDER F,KALTIM1.SIGNAL.AO.10HFB60AF001XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL02AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL02AA102XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL02AA103XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL03AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL03AA102XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL03AA103XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL05AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL05AA102XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL06AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL06AA102XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL11AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL12AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL13AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL14AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL21AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL22AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL23AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 FURNACE,KALTIM1.SIGNAL.AO.10HHL24AA101XQ11,0.0,12,0
#1 AIR SYSTEM,#1 PA FAN A,KALTIM1.SIGNAL.AO.10HLB10AA101XQ11,0.0,12,0
#1 AIR SYSTEM,#1 PA FAN B,KALTIM1.SIGNAL.AO.10HLB20AA101XQ11,0.0,12,0
#1 AIR SYSTEM,#1 SA FAN A,KALTIM1.SIGNAL.AO.10HLB30AA101XQ11,0.0,12,0
#1 AIR SYSTEM,#1 SA FAN B,KALTIM1.SIGNAL.AO.10HLB40AA101XQ11,0.0,12,0
#1 FLUE GAS SYSTEM,#1 ID FAN A,KALTIM1.SIGNAL.AO.10HNA10AA101XQ11,0.0,12,0
#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AO.10HNA10AA102XQ11,0.0,12,0
#1 FLUE GAS SYSTEM,#1 ID FAN B,KALTIM1.SIGNAL.AO.10HNA20AA101XQ11,0.0,12,0
#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.AO.10HNA20AA102XQ11,0.0,12,0
#1 FEED WATER SYSTEM,#1 ELECTRIC FEED WATER PUMP A,KALTIM1.SIGNAL.AO.10LAB21AA101XQ11,0.0,12,0
#1 FEED WATER SYSTEM,#1 ELECTRIC FEED WATER PUMP B,KALTIM1.SIGNAL.AO.10LAB31AA101XQ11,0.0,12,0
#1 FEED WATER SYSTEM,#1 ELECTRIC FEED WATER PUMP C,KALTIM1.SIGNAL.AO.10LAB41AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 LTSH,KALTIM1.SIGNAL.AO.10LAE21AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 LTSH,KALTIM1.SIGNAL.AO.10LAE22AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 PLATEN SH,KALTIM1.SIGNAL.AO.10LAE23AA101XQ11,0.0,12,0
#1 BOILER SYSTEM,#1 PLATEN SH,KALTIM1.SIGNAL.AO.10LAE24AA101XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 DEAERATOR,KALTIM1.SIGNAL.AO.10LBS30AA101XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 DEAERATOR,KALTIM1.SIGNAL.AO.10LCA50AA101XQ11,0.0,12,0
#1 ASH HANDLING SYSTEM,#1 SLAG COOLER A,KALTIM1.SIGNAL.AO.10LCE36AA101XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 4,KALTIM1.SIGNAL.AO.10LCJ40AA101XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 4,KALTIM1.SIGNAL.AO.10LCJ40AA102XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 5,KALTIM1.SIGNAL.AO.10LCJ50AA101XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 5,KALTIM1.SIGNAL.AO.10LCJ50AA102XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 6,KALTIM1.SIGNAL.AO.10LCJ60AA101XQ11,0.0,12,0
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 6,KALTIM1.SIGNAL.AO.10LCJ60AA102XQ11,0.0,0,12
#1 CONDENSATE WATER SYSTEM,#1 LOW PRESSURE HEATER 7,KALTIM1.SIGNAL.AO.10LCJ70AA101XQ11,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AO.10LCR20AA101XQ11,0.0,9,3
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AO.10MAW35AA101XQ11,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AO.10PAB30AA101XQ11,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AO.10PAB31AA101XQ11,0.0,12,0
#1 CCCW SYSTEM,#1 EXPANSION TANK,KALTIM1.SIGNAL.AO.10PGB20AA101XQ11,0.0,0,12
#1 LUBRICANT OIL SYSTEM,#1 LUBE OIL COOLER A,KALTIM1.SIGNAL.AO.10PGB50AA101XQ11,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN A,KALTIM1.SIGNAL.RTD.10HFE10CT106,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN A,KALTIM1.SIGNAL.RTD.10HFE10CT107,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN A,KALTIM1.SIGNAL.RTD.10HFE10CT108,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN A,KALTIM1.SIGNAL.RTD.10HFE10CT109,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN A,KALTIM1.SIGNAL.RTD.10HFE10CT110,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT101,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT102,0.0,0,12
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT106,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT107,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT108,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT109,0.0,12,0
#1 COAL FEEDING SYSTEM,#1 CFB FAN B,KALTIM1.SIGNAL.RTD.10HFE20CT110,0.0,12,0
#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.RTD.10HHL01CT101,0.0,12,0
#1 AIR SYSTEM,#1 AIR HEATER,KALTIM1.SIGNAL.RTD.10HHL10CT101,0.0,12,0
#1 FLUE GAS SYSTEM,#1 ID FAN A,KALTIM1.SIGNAL.RTD.10HNA10CT102,0.0,12,0
#1 FLUE GAS SYSTEM,#1 ID FAN A,KALTIM1.SIGNAL.RTD.10HNA10CT103,0.0,12,0
